index,cultivable,predicted_class,conf
9618,1,cultivable,0.990
7383,0,non-cultivable,0.708
3686,1,cultivable,0.998
3012,1,cultivable,0.709
5177,0,non-cultivable,1.000
9009,1,cultivable,0.989
1523,1,cultivable,0.888
1855,0,non-cultivable,0.772
11803,1,cultivable,0.982
2100,1,cultivable,0.963
7133,1,cultivable,0.998
5218,1,cultivable,0.951
9300,1,cultivable,0.979
7717,1,cultivable,0.987
7850,1,cultivable,0.967
11254,1,cultivable,0.997
7649,1,cultivable,0.950
1518,1,cultivable,0.975
6258,1,cultivable,0.728
2296,1,cultivable,0.812
11245,1,cultivable,0.950
1816,0,non-cultivable,0.967
6253,1,cultivable,0.596
1904,1,cultivable,1.000
4065,1,cultivable,0.994
1414,1,cultivable,0.626
5760,1,cultivable,0.965
9580,1,cultivable,0.950
11957,1,cultivable,0.992
5577,1,cultivable,0.751
11266,1,cultivable,0.829
1662,1,cultivable,0.777
8919,1,cultivable,0.798
7507,0,non-cultivable,0.986
4281,1,cultivable,0.980
5657,1,cultivable,0.967
4778,1,cultivable,0.987
7675,1,cultivable,0.898
2444,0,non-cultivable,0.969
10194,0,non-cultivable,0.974
11436,0,non-cultivable,1.000
5823,1,cultivable,0.563
3606,0,non-cultivable,1.000
1971,0,non-cultivable,0.887
